name,state,established,stamp_index,coordinates,latitude,longitude
BELANDVILLE,Florida,1932,3,True,30.9818486,-86.8488491
BELLE GLADE,Florida,1921,0,True,26.6960393,-80.680918
BELLVUE,Tennessee,1964,1,True,36.0766877,-86.9484813
BENNETT SPRINGS,Missouri,1939,1,True,37.7269838,-92.8557372
BENNETTS POINT,South Carolina,1937,1,True,32.561019,-80.4545478
BENSON JUNCTION,Florida,1930,1,True,28.8652681,-81.3295098
BERKELEY,Missouri,1938,1,True,38.7499763,-90.3369489
BERKSHIRE HEIGHTS,Pennsylvania,1922,1,True,40.345926,-75.9607667
BERTHA,Pennsylvania,1921,2,True,40.3775689,-80.432288
BETHEL PARK,Pennsylvania,1957,0,True,40.3274838,-80.033917
BETHPAGE,New York,1936,0,True,40.7337953,-73.4939258
BEVERLY,Missouri,1946,1,True,39.3680547,-94.8671847
BIDDLE,South Carolina,1922,4,True,34.4648678,-80.8909149
BIG ISLAND,Louisiana,1932,1,True,31.3371265,-92.1654073
BILLS PLACE,Pennsylvania,1935,1,True,40.0159173,-78.2013992
BITHLO,Florida,1922,1,True,28.5547225,-81.106452
BLACK DIAMOND,Alabama,1947,1,True,33.3448348,-87.0866618
BLACK POINT,Connecticut,1929,2,True,41.2862088,-72.205356
BLACK POINT BEACH CLUB,Connecticut,1930,1,True,41.2967644,-72.2039672
BLACKWOOD TERRACE,New Jersey,1925,1,True,39.805114,-75.0857284
BLAKELY,Arkansas,1936,1,True,34.6967585,-93.0693468
BLEDSOE,Alabama,1991,6,True,33.4720516,-86.1133052
BLUE CREEK,Alabama,1941,1,True,33.3709451,-87.0761061
BOBTOWN,Pennsylvania,1926,0,True,39.7594106,-79.9799543
BOCA RATON,Florida,1923,0,True,26.3777084,-80.1202273
BOLINGER,Alabama,1921,0,True,31.7784899,-88.331129
BOOK,Louisiana,1934,1,True,31.3374015,-91.8715132
BOSSIER CITY,Louisiana,1955,0,True,32.5172752,-93.7161263
BOSWELL,Arkansas,1927,1,True,36.040349,-92.0557074
BOVARD,Pennsylvania,1944,0,True,40.3181454,-79.5066039
BOYKIN,Alabama,1949,0,True,32.0779234,-87.28138
BOYLSTON,Massachusetts,1960,0,True,42.3346967,-71.7392341
BOYNTON BEACH,Florida,1941,0,True,26.5267228,-80.0929507
BRADENTON,Florida,1924,0,True,27.4989278,-82.5748194
BRADENTON BEACH,Florida,1941,0,True,27.465666,-82.6973845
BRADLEY,Florida,1950,0,True,27.7933706,-81.9779242
BRANDRETH,New York,1965,1,True,43.9375632,-74.8526795
BRAZIL,Mississippi,1970,1,True,34.0265021,-90.2806463
BRETON WOODS,New Jersey,1937,1,True,40.0456722,-74.1087499
BREWSTERTOWN,Tennessee,1929,2,True,36.3447971,-84.7249436
BRIAR,Missouri,1936,0,True,36.6483917,-90.9717929
BRICK TOWN,New Jersey,1959,1,True,40.0687271,-74.1304176
BRIDGEWATER,Maine,1927,0,True,46.4260345,-67.8438803
BRIGHTON,Florida,1927,1,True,27.2258799,-81.0950668
BROCKWAY,Pennsylvania,1925,0,True,41.2491411,-78.8005723
BROCKWELL,Arkansas,1926,0,True,36.1431324,-91.9247445
BROGUE,Pennsylvania,1970,0,True,39.8721171,-76.4848387
BRONX,New York,1962,0,True,40.8188627,-73.9265806
BROOKHAVEN,Georgia,1923,1,True,33.8584368,-84.340203
BROOKSVILLE,Maine,1961,0,True,44.3538649,-68.7505801
BROOKTONDALE,New York,1926,0,True,42.3820645,-76.3996287
BROSCAN,Florida,1942,1,True,29.6818932,-83.3434702
BROWNFIELD,Missouri,1930,1,True,37.6669868,-92.3448898
BROWNS,New Jersey,1923,5,True,41.1567621,-74.3482076
BROWNVIEW,Louisiana,1930,1,True,30.7268518,-91.5859483
BROWNWOOD,Alabama,1926,1,True,33.2553167,-87.3334313
BRUCE,Mississippi,1927,0,True,33.9942962,-89.3475524
BRUCETON,Tennessee,1925,0,True,36.0408706,-88.2443439
BRUSHY,Missouri,1930,1,True,37.2861577,-91.2990226
BRYANT,Florida,1946,1,True,26.8497815,-80.616445
BUCK RUN,Pennsylvania,1925,0,True,40.7075885,-76.3268947
BUECHE,Louisiana,1923,0,True,30.5649113,-91.3403878
BUFFALO,Arkansas,1928,1,True,36.1678479,-92.4421045
BULL SHOALS,Arkansas,1949,0,True,36.385323,-92.5820504
BURDAL,Georgia,1925,2,True,33.9242688,-84.3785379
BURLINGTON,Massachusetts,1967,0,True,42.5042561,-71.1938165
BURNWELL,Alabama,1931,0,True,33.7078838,-87.0874991
BYRAM COVE,New Jersey,1928,1,True,40.9556538,-74.6598839
CALCASIEU,Louisiana,1925,1,True,31.0896313,-92.7115348
CAMDENTON,Missouri,1931,0,True,38.0046778,-92.754359
CAMELOT,Tennessee,1971,1,True,36.4484263,-83.0554453
CAMERONSVILLE,Alabama,1921,1,True,34.870637,-85.7455281
CAMP HIGHLAND,Georgia,1925,5,True,33.8309384,-84.518265
CANAAN,Arkansas,1939,1,True,35.8670206,-92.7034981
CANADYS,South Carolina,1926,0,True,33.0556,-80.6204
CANAVERAL HARBOR,Florida,1927,4,True,28.4186138,-80.5981064
CANDLEWOOD ISLE,Connecticut,1950,1,True,41.48664,-73.455856
CANNON CREEK,Arkansas,1938,1,True,35.9048016,-93.9401972
CAPE CANAVERAL,Florida,1962,0,True,28.3963779,-80.6113292
CARDALE,Pennsylvania,1924,0,True,39.9566572,-79.864308
CARDERVIEW,Tennessee,1948,1,True,36.3534506,-82.0323443
CARICO,Missouri,1921,3,True,36.7945041,-93.4112992
CASS,Georgia,1950,2,True,34.2167624,-84.845773
CASSELBERRY,Florida,1957,0,True,28.6637855,-81.3418798
CASTLE POINT,New York,1924,0,True,41.5462048,-73.9595828
CASTLETON ON HUDSON,New York,1926,0,True,42.5285406,-73.757811
CATFISH POINT,Mississippi,1977,7,True,33.6809429,-91.198724
CAULFIELD,Missouri,1929,0,True,36.6146167,-92.1020085
CEDAR KNOLLS,New Jersey,1923,0,True,40.8234704,-74.4494155
CENTER,Pennsylvania,1962,1,True,40.6500663,-80.2997843
CENTER POINT,Alabama,1938,1,True,33.6483757,-86.6816601
CENTER ROAD,Pennsylvania,1921,2,True,41.7119993,-80.4170111
CHAMPION,Pennsylvania,1932,0,True,40.0756986,-79.358609
CHAPMANSBORO,Tennessee,1921,0,True,36.3330717,-87.1558795
CHARLEY'S BRANCH,Tennessee,1930,1,True,36.1931344,-84.3332639
CHASTAIN,Arkansas,1923,2,True,36.1750695,-92.2812673
CHERRY GROVE,New York,1922,1,True,40.6589884,-73.0890008
CHERRY GROVE BEACH,South Carolina,1948,1,True,33.8282281,-78.6433477
CHERRY HILL,Arkansas,1932,1,True,34.5859384,-93.9982579
CHERRY HILL,New Jersey,1965,0,True,39.9010768,-74.9776823
CHESTNUT RIDGE,New York,1963,0,True,43.1766425,-78.6181762
CHICKASAW,Alabama,1927,1,True,30.7706651,-88.0781278
CHOATE,Louisiana,1923,5,True,29.5682736,-92.2031856
CHRYSLER,Alabama,1926,1,True,31.3051699,-87.7011037
CLARKRIDGE,Arkansas,1925,0,True,36.4786638,-92.3497473
CLAYTON LAKE,Maine,1930,0,True,46.6114199,-69.5317229
CLEARWATER,Missouri,1929,1,True,37.7656087,-90.1384502
CLEWISTON,Florida,1922,0,True,26.7511896,-80.9460048
CLIFFSIDE PARK,New Jersey,1931,0,True,40.8139717,-73.9905076
CLIMAX,Pennsylvania,1944,0,True,40.9842317,-79.3761528
CLINCHFIELD,Georgia,1926,0,True,32.4140788,-83.6382641
CLINCHMORE,Tennessee,1935,1,True,36.2195234,-84.2821512
CLUNE,Pennsylvania,1923,0,True,40.5578075,-79.304074
COBB,Alabama,1989,5,True,33.9167658,-85.912469
COBURN GORE,Maine,1939,2,True,45.3792147,-70.803407
COCOA BEACH,Florida,1926,0,True,28.3200067,-80.6075513
COCONUT GROVE,Florida,1922,1,True,25.7282173,-80.2451833
COLBATH,Maine,1922,6,True,46.6179,-68.23828
COLEMAN SIDING,Pennsylvania,1922,3,True,41.1617273,-78.002502
COLLEGE HEIGHTS,Arkansas,1949,1,True,33.5903872,-91.8006862
COLLEGE POINT,Florida,1930,2,True,30.2529772,-85.6146489
COLLEGE STATION,Arkansas,1979,0,True,34.7074867,-92.2242365
COLONIAL PARK,Pennsylvania,1925,1,True,40.3006446,-76.8096938
COLRAIN,Massachusetts,1924,1,True,42.6724989,-72.7002163
COLRAIN,Massachusetts,1967,0,True,42.6724989,-72.7002163
COMOVILLE,Missouri,1924,2,True,36.7072829,-93.1299015
CONCORD,Arkansas,1946,0,True,35.6635135,-91.8486466
COOSADA,Alabama,1950,0,True,32.4980065,-86.3339576
COPELAND,Florida,1945,0,True,25.9537075,-81.3559114
CORBIN CITY,New Jersey,1922,1,True,39.3034484,-74.7557193
CORNWALL ON HUDSON,New York,1979,0,True,41.4443949,-74.0148608
CORNWELL,Florida,1925,1,True,27.3786521,-81.0967332
COUNTRY CLUB ESTATES,Florida,1927,2,True,25.8223198,-80.289495
COVE GAP,Pennsylvania,1923,2,True,39.8659242,-77.9424995
COVENTRY,Connecticut,1953,0,True,41.7984318,-72.3717488
CRAFTSBURY COMMON,Vermont,1931,0,True,44.6532078,-72.3817802
CRAIG,Florida,1933,1,True,24.8387471,-80.7581212
CRANBERRY LAKE,New Jersey,1926,1,True,40.9542649,-74.7465533
CRAWLEY,Georgia,1930,3,True,31.386043,-82.4534676
CRESCENT BEACH,South Carolina,1947,1,True,33.8076725,-78.7008502
CRESCENT LAKE,Maine,1925,2,True,43.9861839,-70.4770014
CRESTMONT,Pennsylvania,1924,1,True,41.4139669,-76.5738385
CREWS,Alabama,1950,1,True,33.9131618,-88.0805871
CRIGLER,Arkansas,1937,1,True,33.9589904,-91.7692977
CROKER,Arkansas,1933,1,True,35.8828516,-91.8615349
CROKER SPUR,Arkansas,1924,2,True,35.8828516,-91.8615349
CROMPOND,New York,1933,0,True,41.2974969,-73.8618953
CROOKED BAYOU,Arkansas,1921,6,True,33.2928955,-91.3731723
CROSBY,Mississippi,1934,0,True,31.2837829,-91.0631601
CROYDEN,Pennsylvania,1927,1,True,40.0873329,-74.9034996
CRUMROD,Arkansas,1941,0,True,34.1397927,-90.9837459
CRYSTAL LAKE,Florida,1928,1,True,30.4440845,-85.6885412
CULLEN,Louisiana,1938,0,True,32.9699201,-93.4550793
CURRIERS,New York,1924,2,True,42.6206172,-78.4175185
CURTIS STATION,Mississippi,1927,3,True,34.3401094,-90.1392587
CUSHING,Maine,1973,0,True,43.999539,-69.2679859
DANBURY,New Hampshire,1965,0,True,43.5251561,-71.8592101
DANVILLE,Florida,1928,4,True,30.0013506,-82.3712248
DARNELL,Louisiana,1922,1,True,32.6770796,-91.4490056
DARTWELL,Missouri,1922,6,True,36.1751066,-89.8118082
DAVIS PARK,New York,1955,1,True,40.683988,-73.004831
DAYVILLE,Connecticut,1950,0,True,41.8329077,-71.8767005
DE BARY,Florida,1949,0,True,28.8830452,-81.3086755
DE SOTO,Florida,1947,1,True,27.948932,-82.4290966
DEAN,Tennessee,1931,1,True,36.3448015,-84.3538225
DEERFIELD,New Hampshire,1964,0,True,43.1283317,-71.2376227
DEERFIELD BEACH,Florida,1939,0,True,26.3180766,-80.0994118
DEHLCOBURG,Louisiana,1923,5,True,32.3965338,-91.7695702
DELANO,Tennessee,1926,0,True,35.2614108,-84.5516001
DELBRIDGE,Missouri,1928,2,True,37.7947684,-90.9867994
DELRAY BEACH,Florida,1928,0,True,26.4651516,-80.1216978
DELTA CITY,Mississippi,1950,0,True,33.0740134,-90.793987
DEMORY HILL,Florida,1930,1,True,29.3288499,-83.1442944
DENNETT,Florida,1921,3,True,30.5363168,-83.6112661
DENNIS,Georgia,1923,2,True,33.2143036,-83.3423821
DES ALLEMANDS,Louisiana,1964,0,True,29.8240837,-90.4681797
DES GLAISE,Louisiana,1923,2,True,30.377418,-91.6020566
DEVILS ELBOW,Missouri,1927,0,True,37.8465742,-92.0613327
DILL,Tennessee,1928,2,True,36.5778234,-88.0028008
DOCENA,Alabama,1952,0,True,33.5590164,-86.9299118
DOCTOR PHILLIPS,Florida,1929,1,True,28.4494501,-81.4922946
DOGPATCH,Arkansas,1968,1,True,36.1097964,-93.1348986
DOUGLAS,Alabama,1935,0,True,34.1700076,-86.3299152
DOUGLAS,Massachusetts,1924,5,True,42.0732221,-71.7116081
DOVER-FOXCROFT,Maine,1922,0,True,45.1861632,-69.2310332
DOWDY,Arkansas,1930,1,True,35.8517416,-91.3042971
DRACUT,Massachusetts,1963,0,True,42.6735028,-71.2955849
DRESDEN,Maine,1954,1,True,44.106738,-69.7243267
DRESDEN,Maine,1968,0,True,44.106738,-69.7243267
DUPONT,Louisiana,1959,0,True,30.9293557,-91.9478969
DYESS,Arkansas,1935,0,True,35.5895749,-90.2141011
EARLTON,New York,1929,0,True,42.355773,-73.8987183
EAST  HANOVER,New Jersey,1971,0,True,40.8206912,-74.3669106
EAST BRUNSWICK,New Jersey,1959,0,True,40.4069399,-74.4211715
EAST DOUGLAS,Massachusetts,1924,0,True,42.072319,-71.7134017
EAST FALMOUTH,Massachusetts,1963,0,True,41.5779562,-70.5574795
EAST JAMESTOWN,Tennessee,1928,1,True,36.4647934,-84.8732779
EAST MONONGAHELA,Pennsylvania,1925,1,True,40.2022931,-79.9167155
EAST SAINT JOHNSBURY,Vermont,1952,0,True,44.43779,-71.946912
EAST WOLFEBORO,New Hampshire,1927,1,True,43.6100782,-71.1081224
EASTABOGA,Alabama,1923,0,True,33.6036157,-86.0210023
EASTABUTCHIE,Mississippi,1951,0,True,31.4368461,-89.2851726
EASTLAKE WEIR,Florida,1939,0,True,29.0212663,-81.9083348
EASTMONT,Pennsylvania,1930,2,True,40.3550736,-78.8930803
EATON PARK,Florida,1926,0,True,28.0102752,-81.9070225
EDGEWATER,Florida,1923,0,True,28.9879644,-80.9063429
EDGEWATER PARK,Mississippi,1929,1,True,30.3935315,-88.9869782
EDISON,New Jersey,1955,0,True,40.5269121,-74.3872436
EGLIN AIR FORCE BASE,Florida,1958,0,True,30.5711454,-86.544766
EIGHT MILE,Alabama,1943,1,True,30.7635213,-88.126946
EILER,Alabama,1929,3,True,31.9626506,-88.423639
EL JOBEAN,Florida,1924,1,True,26.9656441,-82.2094537
ELGIN,South Carolina,1962,0,True,34.1709826,-80.794252
ELKLAND,Pennsylvania,1921,0,True,41.9856168,-77.3118989
ELLIS,Arkansas,1941,1,True,36.2453458,-92.2651559
ELM GROVE,Louisiana,1972,0,True,32.3492348,-93.5541349
ELMWOOD PARK,New Jersey,1974,0,True,40.9070466,-74.1189713
ELY,Vermont,1927,1,True,43.8764576,-72.1764789
ENDWELL,New York,1921,1,True,42.1088997,-76.022957
ENFIELD,Connecticut,1969,0,True,41.9956124,-72.5718219
ENGINE,Mississippi,1999,2,True,32.6390257,-89.0922808
ENGLEBERG,Arkansas,1924,1,True,36.3378426,-90.9092876
ENGLEWOOD,Missouri,1921,3,True,39.0908724,-94.4511793
ENTERPRISE,Florida,1937,1,True,28.8696024,-81.2651648
EPSOM,New Hampshire,1974,0,True,43.2302022,-71.3604763
ESTCOURT STATION,Maine,1952,0,True,47.4594824,-69.2247851
ESTELL MANOR,New Jersey,1948,0,True,39.3793536,-74.8063357
EVANS,Missouri,1937,1,True,36.8958898,-92.4407193
EVERETT,Georgia,1950,1,True,31.3905013,-81.6387196
EVERGLADES,Florida,1925,1,True,25.8601002,-81.380357
EVERGLADES CITY,Florida,1968,0,True,25.8658489,-81.3831082
FAIR HARBOR,New York,1927,1,True,40.6392666,-73.1842821
FAIRLESS HILLS,Pennsylvania,1951,0,True,40.1721225,-74.8500883
FAIRMONT,Missouri,1923,4,True,39.110689,-94.45813
FAIRVIEW,Tennessee,1937,0,True,35.9860581,-87.1099497
FAIX,Tennessee,1937,1,True,36.5142327,-85.1255097
FALLS CREEK,Pennsylvania,1938,0,True,41.1445994,-78.7992982
FANNIE,Arkansas,1926,1,True,34.6995388,-93.4496347
FARMHAVEN,Mississippi,1924,1,True,32.6823576,-89.7481338
FARMINGVILLE,New York,1950,0,True,40.8344265,-73.0437011
FARRIS CHAPEL,Tennessee,1942,1,True,35.1339727,-86.1283183
FAYSON EAKES,New Jersey,1947,1,True,40.9759313,-74.3570955
FELDA,Florida,1923,0,True,26.5472809,-81.4351085
FELTON,Arkansas,1925,3,True,34.8042631,-90.7962234
FENRIS,Louisiana,1924,4,True,30.5607548,-92.4298551
FERN PARK,Florida,1928,1,True,28.6570854,-81.3423398
FERNANDINA BEACH,Florida,1952,0,True,30.6404357,-81.4499356
FERNDALE,Florida,1923,1,True,28.6194444,-81.7030556
FERRELVIEW,Missouri,1925,1,True,39.3111121,-94.6649577
FIVE POINTS,Tennessee,1949,0,True,35.0416881,-87.3117548
FLAGLER BEACH,Florida,1924,0,True,29.4786154,-81.1288649
FLINTSIDE,Georgia,1924,3,True,31.9548943,-83.9543437
FLORANADA,Florida,1926,2,True,26.1906367,-80.1291245
FLOROSO,Florida,1924,2,True,30.4135322,-86.7294002
FOLEY,Florida,1929,1,True,30.0693809,-83.5307016
FOLLY BEACH,South Carolina,1923,0,True,32.658006,-79.9413042
FONDALE,Louisiana,1921,2,True,32.3545932,-92.1079129
FORESTER,Arkansas,1930,1,True,34.770931,-93.8163124
FORT BASSINGER,Florida,1925,4,True,27.362264,-81.0570102
FORT BENNING,Georgia,1922,1,True,32.3658699,-84.9648827
FORT LEONARD WOOD,Missouri,1947,0,True,37.762393,-92.1152511
FORT MYERS BEACH,Florida,1955,0,True,26.4524917,-81.9492299
FORT WALTON BEACH,Florida,1953,0,True,30.4165344,-86.61157
FORTY FOUR,Arkansas,1928,1,True,36.1436802,-92.0609855
FOSTER,Rhode Island,1961,0,True,41.7843543,-71.7170174
FOUNTAIN,Alabama,1922,1,True,31.5946038,-87.4088776
FOUR HOLES,South Carolina,1928,1,True,33.2784952,-80.4331502
FRANKLIN LAKES,New Jersey,1951,0,True,41.0219215,-74.2056873
FRANKLIN ROADS,Maine,1927,5,True,44.5395212,-68.3183506
FRANKLIN SQUARE,New York,1923,0,True,40.7067807,-73.6718817
FREEMAN SPRINGS,Arkansas,1923,4,True,35.6617469,-93.0787852
FRISCO CITY,Alabama,1928,0,True,31.4349396,-87.3995103
FRYEBURG,Louisiana,1929,1,True,32.4129329,-93.2343344
FULTON DALE,Alabama,1950,0,True,33.6096067,-86.7979501
GAHAGEN,Pennsylvania,1922,3,True,40.0623015,-78.8019657
GAINES FORD,Missouri,1930,2,True,38.0600412,-91.8926633
GALIANO,Louisiana,1949,0,True,29.4449963,-90.3115864
GARARDS FORT,Pennsylvania,1934,0,True,39.8150518,-80.0242048
GARDEN CITY,Florida,1948,1,True,30.4407937,-81.6989881
GARDEN CITY BEACH,South Carolina,1949,1,True,33.5737802,-79.002535
GARDEN CITY PARK,New York,1966,0,True,40.7409348,-73.6626297
GARDENVALE,Alabama,1935,0,True,33.6659457,-86.8144749
GARDNERS,Georgia,1926,1,True,32.8534892,-82.9626442
GARLAND CITY,Arkansas,1983,0,True,33.3592151,-93.7106068
GARNET LAKE,New York,1940,1,True,43.5417328,-74.0120735
GATEWAY,Arkansas,1939,0,True,36.4908992,-93.9310919
GATEWAY,Florida,1951,1,True,26.1409099,-80.1209924
GAYTINE,Louisiana,1924,4,True,30.4479784,-93.2012681
GEIGERTOWN,Pennsylvania,1929,0,True,40.2060733,-75.8368663
GENEVIA,Arkansas,1942,1,True,34.7081479,-92.2212592
GEPP,Arkansas,1947,0,True,36.3865498,-92.1150143
GERREN HEIGHTS,Tennessee,1924,2,True,35.5825682,-85.1352364
GIBSONTON,Florida,1926,0,True,27.8406013,-82.3803471
GILMAN,Connecticut,1932,0,True,41.5789825,-72.1973941
GILMAN,Vermont,1921,0,True,44.413737,-71.7170861
GLADDEN,Arkansas,1922,5,True,35.1645339,-90.560383
GLADSTONE,Missouri,1957,1,True,39.2241828,-94.5859377
GLASSER,New Jersey,1933,0,True,40.9715074,-74.6350386
GLENDORA,New Jersey,1957,0,True,39.8389507,-75.0674269
GLENNON,Missouri,1926,1,True,37.1889412,-89.91843
GLORIA,Louisiana,1925,2,True,29.7371546,-90.0120153
GLOUCESTER HEIGHTS,New Jersey,1925,1,True,39.897891,-75.1043412
GLOVERVILLE,South Carolina,1948,0,True,33.5259704,-81.8301117
GOBLER,Missouri,1939,0,True,36.1563501,-89.9589937
GOGGINS,Georgia,1927,1,True,33.0759598,-84.0918588
GOLDEN MEADOW,Louisiana,1923,0,True,29.3791112,-90.2600787
GOLDENROD,Florida,1951,0,True,28.5947222,-81.3470132
GOOD HOPE,Louisiana,1922,1,True,29.9913148,-90.4006372
GOODLAND,Florida,1949,0,True,25.925416,-81.6473432
GOODSPRINGS,Alabama,1924,0,True,33.669542,-87.2324059
GORBY,Arkansas,1923,1,True,36.1020144,-92.0759856
GORE SPRINGS,Mississippi,1951,0,True,33.7569399,-89.6151671
GOSHEN,New Hampshire,1942,0,True,43.3013842,-72.149339
GOULDSBORO,Maine,1980,0,True,44.4717738,-68.0955733
GRAND RIVER,Louisiana,1948,1,True,30.2265864,-91.4184444
GRAVES,Georgia,1927,1,True,31.7682216,-84.5190842
GRAYSON,Alabama,1943,1,True,34.2806562,-87.319462
GRAYSVILLE,Alabama,1942,0,True,33.6278064,-86.9755308
GRAYSVILLE,Pennsylvania,1924,0,True,39.9320066,-80.3870892
GREEN RIDGE,Pennsylvania,1944,1,True,39.8681676,-75.4135276
GREENACRES CITY,Florida,1926,1,True,26.623679,-80.1253213
GREENFIELD,Florida,1923,2,True,28.353615,-82.5048186
GREENFIELD PARK,New York,1928,0,True,41.7269856,-74.4892483
GREENHURST,New York,1925,0,True,42.12017,-79.3100232
GREENVALE,New York,1933,0,True,40.810699,-73.6264403
GREENWELL SPDNGS,Louisiana,1932,0,True,30.5730655,-90.9935591
GRISHAM,Missouri,1921,1,True,37.3797765,-90.1009414
GRUETLI-LAAGER,Tennessee,1985,0,True,35.3684731,-85.6365455
GULF BREEZE,Florida,1939,0,True,30.3571438,-87.1638574
GULF HAMMOCK,Florida,1926,0,True,29.2522215,-82.7238215
GULF SHORES,Alabama,1947,0,True,30.2743766,-87.6900123
HADDOCK,Pennsylvania,1926,3,True,40.8814754,-76.0057608
HALL SUMMIT,Louisiana,1922,0,True,32.1751481,-93.3025813
HAMILTON,Pennsylvania,1952,0,True,40.9239383,-79.0814941
HAMILTON BEACH,New York,1921,3,True,40.652326,-73.8273567
HAMPTON BAYS,New York,1922,0,True,40.8772992,-72.5232481
HANNACROIX,New York,1924,0,True,42.4254332,-73.8179612
HANSON,Massachusetts,1940,0,True,42.043948,-70.8521009
HARBESON CITY,Florida,1925,3,True,29.8963185,-84.6457372
HARBORCREEK,Pennsylvania,1924,0,True,42.1729844,-79.9439968
HARDENVILLE,Missouri,1921,0,True,36.5887919,-92.3706828
HARDWOOD,Louisiana,1939,0,True,30.8062931,-91.3840018
HARDY,Mississippi,1950,1,True,33.8820587,-89.8295316
HARNESS,Arkansas,1922,1,True,35.8431314,-92.4054363
HARRINGTON PARK,New Jersey,1927,0,True,40.9832107,-73.9795365
